Date, basin_cfs, basin_actet
1990-01-31, 1.232E+03, 4.016E+00
1990-02-28, 1.007E+03, 3.231E-01
1990-03-31, 6.416E+02, 4.053E-01
1990-04-30, 3.627E+02, 9.249E-01
1990-05-31, 3.158E+02, 5.642E-01
1990-06-30, 2.706E+02, 6.235E-01
1990-07-31, 3.686E+02, 2.113E+00
1990-08-31, 5.381E+02, 1.496E+00
1990-09-30, 1.212E+03, 4.253E+00
1990-10-31, 1.322E+03, 1.299E+00
1990-11-30, 8.602E+02, 7.271E-01
1990-12-31, 5.716E+02, 5.328E-01
1991-01-31, 3.861E+02, 5.231E-01
1991-02-28, 2.755E+02, 1.324E-01
1991-03-31, 2.434E+02, 2.732E-01
1991-04-30, 2.474E+02, 1.614E+00
1991-05-31, 4.284E+02, 2.509E+00
1991-06-30, 1.760E+03, 5.072E+00
1991-07-31, 2.846E+03, 5.181E+00
1991-08-31, 2.566E+03, 1.984E+00
1991-09-30, 2.031E+03, 3.039E+00
1991-10-31, 1.714E+03, 1.387E+00
1991-11-30, 1.015E+03, 6.596E-01
1991-12-31, 6.647E+02, 1.427E+00
1992-01-31, 4.838E+02, 2.572E-01
1992-02-29, 3.403E+02, 6.147E-01
1992-03-31, 3.001E+02, 5.532E-01
1992-04-30, 3.227E+02, 2.291E+00
1992-05-31, 7.490E+02, 4.138E+00
1992-06-30, 2.221E+03, 5.041E+00
1992-07-31, 2.346E+03, 2.538E+00
1992-08-31, 1.615E+03, 2.059E+00
1992-09-30, 1.312E+03, 1.783E+00
1992-10-31, 9.561E+02, 3.147E-01
1992-11-30, 6.061E+02, 1.704E+00
1992-12-31, 4.536E+02, 3.606E-01
1993-01-31, 3.442E+02, 5.840E-01
1993-02-28, 2.517E+02, 5.150E-01
1993-03-31, 2.380E+02, 4.908E-02
1993-04-30, 3.941E+02, 2.864E+00
1993-05-31, 1.746E+03, 4.575E+00
1993-06-30, 1.541E+03, 2.310E+00
1993-07-31, 1.317E+03, 1.812E+00
1993-08-31, 8.897E+02, 1.041E+00
1993-09-30, 6.774E+02, 1.732E+00
1993-10-31, 5.905E+02, 8.883E-01
1993-11-30, 4.347E+02, 3.979E-01
1993-12-31, 3.338E+02, 3.309E-01
1994-01-31, 2.480E+02, 1.280E-01
1994-02-28, 1.557E+02, 1.907E-01
1994-03-31, 1.154E+02, 4.613E-02
1994-04-30, 8.567E+01, 9.436E-01
1994-05-31, 2.306E+02, 2.094E+00
1994-06-30, 5.904E+02, 1.499E+00
1994-07-31, 7.903E+02, 3.021E+00
1994-08-31, 1.302E+03, 1.400E+00
1994-09-30, 8.192E+02, 9.379E-01
1994-10-31, 5.767E+02, 9.849E-01
1994-11-30, 3.688E+02, 1.392E-01
1994-12-31, 2.823E+02, 4.068E-01
1995-01-31, 2.226E+02, 9.573E-01
1995-02-28, 1.854E+02, 4.144E-01
1995-03-31, 1.444E+02, 4.001E-02
1995-04-30, 9.668E+01, 1.399E+00
1995-05-31, 2.740E+02, 2.181E-01
1995-06-30, 3.989E+02, 3.515E+00
1995-07-31, 7.849E+02, 2.304E+00
1995-08-31, 8.408E+02, 2.829E+00
1995-09-30, 7.597E+02, 1.342E+00
1995-10-31, 5.845E+02, 4.118E-01
1995-11-30, 3.592E+02, 1.871E-01
1995-12-31, 2.481E+02, 3.063E-02
1996-01-31, 1.583E+02, 3.442E-01
1996-02-29, 8.965E+01, 1.826E-02
1996-03-31, 6.716E+01, 1.451E-03
1996-04-30, 2.347E+02, 1.554E+00
1996-05-31, 2.762E+02, 1.548E-01
1996-06-30, 3.036E+02, 1.647E+00
1996-07-31, 5.565E+02, 1.688E+00
1996-08-31, 6.541E+02, 3.336E+00
1996-09-30, 7.109E+02, 7.501E-01
1996-10-31, 5.535E+02, 7.399E-01
1996-11-30, 3.463E+02, 1.754E-01
1996-12-31, 2.417E+02, 3.642E-01
1997-01-31, 1.625E+02, 3.778E-02
1997-02-28, 8.263E+01, 3.487E-02
1997-03-31, 7.429E+01, 6.458E-01
1997-04-30, 1.386E+02, 6.764E-02
1997-05-31, 2.300E+02, 2.764E+00
1997-06-30, 8.729E+03, 7.138E+00
1997-07-31, 3.993E+03, 4.360E+00
1997-08-31, 3.953E+03, 5.160E+00
1997-09-30, 4.164E+03, 4.947E+00
1997-10-31, 2.626E+03, 2.771E+00
1997-11-30, 1.544E+03, 8.469E-01
1997-12-31, 9.387E+02, 9.089E-01
1998-01-31, 5.912E+02, 1.233E-01
1998-02-28, 3.828E+02, 9.140E-01
1998-03-31, 3.899E+02, 3.684E-01
1998-04-30, 3.947E+02, 2.001E+00
1998-05-31, 4.277E+02, 1.305E+00
1998-06-30, 4.629E+02, 1.733E+00
1998-07-31, 4.415E+02, 1.269E-01
1998-08-31, 3.254E+02, 5.603E-02
1998-09-30, 2.277E+02, 1.171E+00
1998-10-31, 2.640E+02, 6.353E-02
1998-11-30, 1.783E+02, 2.167E-02
1998-12-31, 1.131E+02, 7.657E-02
1999-01-31, 7.964E+01, 6.808E-02
1999-02-28, 5.708E+01, 3.036E-01
1999-03-31, 1.612E+02, 1.040E+00
1999-04-30, 1.965E+02, 3.351E-01
1999-05-31, 1.547E+02, 8.821E-01
1999-06-30, 2.180E+02, 1.245E+00
1999-07-31, 4.877E+02, 1.963E+00
1999-08-31, 6.420E+02, 3.257E+00
1999-09-30, 2.195E+03, 5.315E+00
1999-10-31, 1.741E+03, 1.514E+00
1999-11-30, 1.173E+03, 8.919E-01
1999-12-31, 6.931E+02, 4.980E-01
2000-01-31, 3.934E+02, 9.575E-02
2000-02-29, 2.538E+02, 6.963E-01
2000-03-31, 2.510E+02, 2.489E-01
2000-04-30, 2.480E+02, 9.959E-01
2000-05-31, 2.797E+02, 9.928E-01
2000-06-30, 1.615E+03, 3.756E+00
2000-07-31, 4.491E+03, 5.233E+00
2000-08-31, 2.529E+03, 2.388E+00
2000-09-30, 2.424E+03, 4.341E+00
2000-10-31, 1.928E+03, 9.368E-01
2000-11-30, 1.110E+03, 9.440E-01
2000-12-31, 6.714E+02, 1.663E-01
2001-01-31, 4.439E+02, 7.638E-01
2001-02-28, 3.063E+02, 5.006E-02
2001-03-31, 2.834E+02, 9.179E-01
2001-04-30, 3.009E+02, 9.225E-01
2001-05-31, 3.864E+02, 2.792E+00
2001-06-30, 6.598E+02, 1.023E+00
2001-07-31, 1.765E+03, 4.597E+00
2001-08-31, 3.264E+03, 5.231E+00
2001-09-30, 2.735E+03, 2.950E+00
2001-10-31, 1.765E+03, 9.761E-01
2001-11-30, 1.034E+03, 8.130E-01
2001-12-31, 6.164E+02, 1.551E-01
2002-01-31, 3.832E+02, 1.199E-01
2002-02-28, 2.594E+02, 4.866E-02
2002-03-31, 2.238E+02, 4.620E-01
2002-04-30, 2.347E+02, 9.869E-01
2002-05-31, 6.935E+02, 3.374E+00
2002-06-30, 4.990E+03, 4.968E+00
2002-07-31, 2.714E+03, 4.098E+00
2002-08-31, 3.066E+03, 4.831E+00
2002-09-30, 2.349E+03, 2.359E+00
2002-10-31, 1.484E+03, 1.088E+00
2002-11-30, 8.961E+02, 5.016E-01
2002-12-31, 5.676E+02, 3.552E-01
2003-01-31, 4.017E+02, 8.238E-01
2003-02-28, 3.230E+02, 6.264E-02
2003-03-31, 2.859E+02, 4.395E-02
2003-04-30, 2.030E+02, 1.716E-01
2003-05-31, 4.742E+02, 2.016E+00
2003-06-30, 1.269E+03, 3.127E+00
2003-07-31, 1.641E+03, 3.054E+00
2003-08-31, 1.311E+03, 3.222E-01
2003-09-30, 8.331E+02, 1.731E+00
2003-10-31, 6.031E+02, 3.005E-01
2003-11-30, 4.021E+02, 1.109E+00
2003-12-31, 3.539E+02, 2.994E-01
2004-01-31, 2.625E+02, 1.423E-01
2004-02-29, 1.716E+02, 1.362E-01
2004-03-31, 1.167E+02, 4.439E-01
2004-04-30, 1.468E+02, 1.611E+00
2004-05-31, 3.391E+02, 8.835E-01
2004-06-30, 4.087E+02, 1.779E+00
2004-07-31, 5.276E+02, 2.727E+00
2004-08-31, 9.697E+02, 3.605E+00
2004-09-30, 9.678E+02, 1.776E+00
2004-10-31, 7.080E+02, 7.867E-01
