Date,basin_potet,basin_actet,basin_dprst_evap,basin_imperv_evap,basin_intcp_evap,basin_lakeevap,basin_perv_et,basin_snowevap,basin_swrad,basin_ppt,basin_pk_precip,basin_tmax,basin_tmin,basin_snowcov,basin_total_storage,basin_surface_storage,basin_dprst_volcl,basin_dprst_volop,basin_gwstor,basin_imperv_stor,basin_intcp_stor,basin_lake_stor,basin_pweqv,basin_soil_moist,basin_ssstor,basin_pref_stor,basin_slstor,basin_soil_rechr,basin_capwaterin,basin_dprst_seep,basin_gwin,basin_pref_flow_in,basin_recharge,basin_snowmelt,basin_soil_to_gw,basin_sz2gw,basin_gwsink,basin_prefflow,basin_slowflow,basin_hortonian,basin_dunnian,basin_stflow_in,basin_stflow_out,basin_gwflow,basin_dnflow,basin_gwstor_minarea_wb,basin_cfs,basin_gwflow_cfs,basin_sroff_cfs,basin_ssflow_cfs,runoff_cfs
year-month-day,inches/day,inches/day,inches/day,inches/day,inches/day,inches/day,inches/day,inches/day,Langleys,inches/day,inches/day,degrees,degrees,fraction,inches,inches,inches,inches,inches,inches,inches,inches,inches,inches,inches,inches,inches,inches,inches/day,inches/day,inches/day,inches/day,inches/day,inches/day,inches/day,inches/day,inches/day,inches/day,inches/day,inches/day,inches/day,inches/day,inches/day,inches/day,inches/day,inches,cfs,cfs,cfs,cfs,cfs
1990-01-01,6.1916,.7612,.4269,.0000,.0000,.0000,.3343,.0000,746.1029,.0000,.0000,22.3323,9.4652,.0000,6.2652,4.7560,.0000,4.7560,1.1191,.0000,.0000,.0000,.0000,.0000,.3901,.0000,.3901,.0000,.0171,.0971,.3457,.0000,.1306,.0000,.0000,.0336,.0000,.0000,.0001,.0000,.0000,.0117,.0000,.0116,.2150,.0000,.0256,21.8326,.0000,.2607,12.7000
1990-01-02,6.4282,.4422,.4290,.0000,.0000,.0000,.0131,.0000,752.6813,.0000,.0000,22.6197,9.5581,.0000,5.8083,4.2404,.0000,4.2404,1.2202,.0000,.0000,.0000,.0000,.0000,.3477,.0000,.3477,.0000,.0131,.0865,.3223,.0000,.1157,.0000,.0000,.0292,.0000,.0000,.0001,.0000,.0000,.0147,.0004,.0146,.2066,.0000,.7416,27.5664,.0000,.2511,12.0000
1990-01-03,6.5663,.4346,.4243,.0000,.0000,.0000,.0103,.0000,752.5444,.0000,.0000,23.5053,9.6163,.0000,5.3564,3.7398,.0000,3.7398,1.3048,.0000,.0000,.0000,.0000,.0000,.3118,.0000,.3118,.0000,.0103,.0763,.3021,.0000,.1018,.0000,.0000,.0255,.0000,.0000,.0001,.0000,.0000,.0173,.0020,.0172,.2003,.0000,3.8532,32.4178,.0000,.2420,12.0000
1990-01-04,6.3335,.3343,.3261,.0000,.0000,.0000,.0082,.0000,737.2419,.0000,.0000,24.0814,10.6981,.0000,5.0027,3.3454,.0000,3.3454,1.3762,.0000,.0000,.0000,.0000,.0000,.2811,.0000,.2811,.0000,.0082,.0683,.2857,.0000,.0907,.0000,.0000,.0224,.0000,.0000,.0001,.0000,.0000,.0194,.0043,.0193,.1951,.0000,8.1948,36.5094,.0000,.2333,12.0000
1990-01-05,6.2653,.1610,.1544,.0000,.0000,.0000,.0067,.0000,737.5104,.0000,.0000,23.9738,10.6515,.0000,4.8204,3.1273,.0000,3.1273,1.4386,.0000,.0000,.0000,.0000,.0000,.2546,.0000,.2546,.0000,.0067,.0638,.2740,.0000,.0836,.0000,.0000,.0197,.0000,.0000,.0001,.0000,.0000,.0212,.0088,.0211,.1904,.0000,16.6950,39.9043,.0000,.2249,11.7000
1990-01-06,6.0389,.1442,.1388,.0000,.0000,.0000,.0055,.0000,730.6464,.0000,.0000,23.8565,10.6470,.0000,4.6535,2.9287,.0000,2.9287,1.4933,.0000,.0000,.0000,.0000,.0000,.2315,.0000,.2315,.0000,.0055,.0598,.2633,.0000,.0772,.0000,.0000,.0175,.0000,.0000,.0001,.0000,.0000,.0227,.0132,.0226,.1861,.0000,24.9872,42.6545,.0000,.2169,11.3000
1990-01-07,6.6782,.1479,.1433,.0000,.0000,.0000,.0046,.0000,739.4578,.0000,.0000,24.4968,10.4441,.0000,4.4817,2.7297,.0000,2.7297,1.5408,.0000,.0000,.0000,.0000,.0000,.2113,.0000,.2113,.0000,.0046,.0557,.2531,.0000,.0712,.0000,.0000,.0155,.0000,.0000,.0001,.0000,.0000,.0238,.0175,.0237,.1819,.0000,33.0548,44.8097,.0000,.2091,11.3000
1990-01-08,6.3786,.1311,.1272,.0000,.0000,.0000,.0039,.0000,736.8027,.0000,.0000,23.6043,10.4644,.0000,4.3260,2.5504,.0000,2.5504,1.5821,.0000,.0000,.0000,.0000,.0000,.1935,.0000,.1935,.0000,.0039,.0520,.2436,.0000,.0659,.0000,.0000,.0138,.0000,.0000,.0001,.0000,.0000,.0247,.0205,.0246,.1777,.0000,38.6492,46.4373,.0000,.2016,11.3000
1990-01-09,6.3742,.1220,.1185,.0000,.0000,.0000,.0036,.0000,737.3435,.0007,.0001,23.6560,10.3554,.0000,4.1793,2.3837,.0000,2.3834,1.6179,.0000,.0003,.0000,.0000,.0000,.1778,.0001,.1777,.0000,.0036,.0486,.2347,.0001,.0610,.0001,.0000,.0124,.0000,.0000,.0001,.0000,.0000,.0253,.0225,.0252,.1737,.0000,42.5100,47.6079,.0000,.1944,11.7000
1990-01-10,6.0115,.1076,.1041,.0000,.0003,.0000,.0032,.0000,731.3872,.0009,.0007,23.2007,10.3082,.0000,4.0469,2.2339,.0000,2.2338,1.6490,.0000,.0001,.0000,.0000,.0000,.1640,.0003,.1636,.0000,.0032,.0456,.2265,.0003,.0567,.0007,.0000,.0111,.0000,.0000,.0001,.0000,.0000,.0257,.0240,.0256,.1698,.0000,45.3032,48.3959,.0000,.1873,11.7000
1990-01-11,5.8047,.1135,.0950,.0002,.0000,.0000,.0183,.0000,733.4552,.0404,.0075,22.9579,10.2982,.0000,3.9479,2.1145,.0000,2.1015,1.6760,.0000,.0129,.0000,.0000,.0000,.1574,.0063,.1511,.0000,.0183,.0429,.2190,.0073,.0529,.0075,.0000,.0100,.0000,.0000,.0001,.0000,.0000,.0260,.0251,.0259,.1661,.0000,47.3609,48.8729,.0029,.1815,11.3000
1990-01-12,4.4651,.0863,.0680,.0001,.0092,.0000,.0089,.0000,725.0875,.0126,.0066,19.6935,9.9587,.0000,3.8480,1.9999,.0000,1.9951,1.6998,.0000,.0048,.0000,.0000,.0000,.1484,.0086,.1398,.0000,.0089,.0407,.2123,.0038,.0497,.0066,.0000,.0090,.0000,.0000,.0001,.0000,.0000,.0261,.0259,.0260,.1626,.0000,48.8539,49.1091,.0000,.1744,11.3000
1990-01-13,5.8114,.0914,.0837,.0000,.0048,.0000,.0029,.0000,738.1169,.0000,.0000,21.8980,8.9245,.0000,3.7306,1.8732,.0000,1.8732,1.7202,.0000,.0000,.0000,.0000,.0000,.1372,.0076,.1296,.0000,.0029,.0382,.2055,.0000,.0464,.0000,.0000,.0082,.0000,.0000,.0001,.0000,.0000,.0261,.0264,.0260,.1591,.0000,49.8913,49.1509,.0000,.1679,11.3000
1990-01-14,6.2865,.0873,.0847,.0000,.0000,.0000,.0026,.0000,738.6099,.0000,.0000,22.9381,9.3588,.0000,3.6172,1.7527,.0000,1.7527,1.7374,.0000,.0000,.0000,.0000,.0000,.1271,.0068,.1204,.0000,.0026,.0358,.1990,.0000,.0432,.0000,.0000,.0074,.0000,.0000,.0001,.0000,.0000,.0260,.0268,.0260,.1558,.0000,50.5568,49.0413,.0000,.1615,11.3000
1990-01-15,6.3110,.0817,.0794,.0000,.0000,.0000,.0023,.0000,737.6871,.0000,.0000,22.6782,9.9648,.0000,3.5096,1.6398,.0000,1.6398,1.7518,.0000,.0000,.0000,.0000,.0000,.1180,.0060,.1120,.0000,.0023,.0335,.1928,.0000,.0402,.0000,.0000,.0068,.0000,.0000,.0001,.0000,.0000,.0259,.0269,.0258,.1526,.0000,50.9242,48.8176,.0000,.1553,11.3000
1990-01-16,5.3691,.0722,.0633,.0001,.0000,.0000,.0088,.0000,736.5683,.0157,.0072,17.7768,8.5864,.0000,3.4273,1.5507,.0000,1.5474,1.7639,.0000,.0032,.0000,.0000,.0000,.1128,.0085,.1043,.0000,.0088,.0316,.1872,.0040,.0378,.0072,.0000,.0062,.0000,.0000,.0001,.0000,.0000,.0258,.0270,.0257,.1495,.0000,51.0547,48.5149,.0000,.1493,11.3000
1990-01-17,6.2531,.0745,.0690,.0000,.0032,.0000,.0023,.0000,764.3036,.0000,.0000,19.5935,6.6475,.0000,3.3272,1.4488,.0000,1.4488,1.7736,.0000,.0000,.0000,.0000,.0000,.1048,.0075,.0973,.0000,.0023,.0296,.1817,.0000,.0352,.0000,.0000,.0057,.0000,.0000,.0001,.0000,.0000,.0256,.0270,.0255,.1465,.0000,51.0005,48.1525,.0000,.1433,11.7000
1990-01-18,6.6317,.0704,.0684,.0000,.0000,.0000,.0020,.0000,760.8806,.0000,.0000,23.2322,8.2702,.0000,3.2315,1.3528,.0000,1.3528,1.7811,.0000,.0000,.0000,.0000,.0000,.0975,.0066,.0909,.0000,.0020,.0276,.1763,.0000,.0328,.0000,.0000,.0052,.0000,.0000,.0001,.0000,.0000,.0253,.0269,.0253,.1435,.0000,50.8039,47.7463,.0000,.1375,11.0000
1990-01-19,6.1876,.0612,.0594,.0000,.0000,.0000,.0018,.0000,737.9938,.0000,.0000,21.9981,9.3207,.0000,3.1453,1.2676,.0000,1.2676,1.7868,.0000,.0000,.0000,.0000,.0000,.0909,.0059,.0850,.0000,.0018,.0259,.1713,.0000,.0307,.0000,.0000,.0048,.0000,.0000,.0001,.0000,.0000,.0251,.0267,.0250,.1406,.0000,50.4991,47.3115,.0000,.1319,11.0000
1990-01-20,6.4861,.0597,.0581,.0000,.0000,.0000,.0016,.0000,740.1067,.0000,.0000,23.4024,9.3290,.0000,3.0607,1.1853,.0000,1.1853,1.7906,.0000,.0000,.0000,.0000,.0000,.0847,.0053,.0795,.0000,.0016,.0242,.1665,.0000,.0286,.0000,.0000,.0044,.0000,.0000,.0001,.0000,.0000,.0249,.0265,.0248,.1378,.0000,50.1144,46.8566,.0000,.1263,10.2000
1990-01-21,6.2382,.0536,.0521,.0000,.0000,.0000,.0015,.0000,730.1688,.0000,.0000,22.7746,9.6853,.0000,2.9825,1.1106,.0000,1.1106,1.7929,.0000,.0000,.0000,.0000,.0000,.0791,.0047,.0744,.0000,.0015,.0227,.1619,.0000,.0268,.0000,.0000,.0041,.0000,.0000,.0001,.0000,.0000,.0246,.0263,.0245,.1351,.0000,49.6714,46.3891,.0000,.1209,9.9000
1990-01-22,5.8777,.0483,.0459,.0000,.0000,.0000,.0024,.0000,714.8684,.0028,.0015,22.4785,10.5610,.0000,2.9126,1.0443,.0000,1.0438,1.7937,.0000,.0005,.0000,.0000,.0000,.0745,.0049,.0697,.0000,.0024,.0213,.1576,.0009,.0252,.0015,.0000,.0039,.0000,.0000,.0001,.0000,.0000,.0244,.0260,.0243,.1324,.0000,49.1866,45.9149,.0001,.1156,9.5000
1990-01-23,5.6766,.0433,.0415,.0000,.0005,.0000,.0013,.0000,716.5845,.0000,.0000,21.5208,9.5551,.0000,2.8452,.9823,.0000,.9823,1.7933,.0000,.0000,.0000,.0000,.0000,.0696,.0044,.0652,.0000,.0013,.0200,.1535,.0000,.0237,.0000,.0000,.0036,.0000,.0000,.0001,.0000,.0000,.0241,.0258,.0240,.1299,.0000,48.6728,45.4375,.0000,.1103,9.5000
1990-01-24,6.2767,.0442,.0430,.0000,.0000,.0000,.0012,.0000,718.2802,.0000,.0000,23.3334,9.6882,.0000,2.7772,.9205,.0000,.9205,1.7917,.0000,.0000,.0000,.0000,.0000,.0650,.0039,.0611,.0000,.0012,.0188,.1495,.0000,.0222,.0000,.0000,.0034,.0000,.0000,.0001,.0000,.0000,.0238,.0255,.0238,.1274,.0000,48.1391,44.9569,.0000,.1052,9.5000
1990-01-25,6.6418,.0436,.0425,.0000,.0000,.0000,.0011,.0000,718.4457,.0000,.0000,25.7237,10.7088,.0000,2.7100,.8604,.0000,.8604,1.7889,.0000,.0000,.0000,.0000,.0000,.0607,.0035,.0572,.0000,.0011,.0176,.1457,.0000,.0208,.0000,.0000,.0032,.0000,.0000,.0001,.0000,.0000,.0236,.0252,.0235,.1249,.0000,47.5929,44.4728,.0000,.1001,9.2000
1990-01-26,6.1156,.0374,.0365,.0000,.0000,.0000,.0010,.0000,708.3922,.0000,.0000,22.4805,10.4843,.0000,2.6492,.8074,.0000,.8074,1.7852,.0000,.0000,.0000,.0000,.0000,.0566,.0031,.0535,.0000,.0010,.0165,.1420,.0000,.0195,.0000,.0000,.0030,.0000,.0000,.0001,.0000,.0000,.0233,.0249,.0233,.1225,.0000,47.0391,43.9866,.0000,.0952,9.2000
1990-01-27,6.5136,.0372,.0363,.0000,.0000,.0000,.0009,.0000,715.2665,.0000,.0000,23.7926,10.6920,.0000,2.5890,.7557,.0000,.7557,1.7804,.0000,.0000,.0000,.0000,.0000,.0528,.0028,.0500,.0000,.0009,.0154,.1384,.0000,.0183,.0000,.0000,.0029,.0000,.0000,.0000,.0000,.0000,.0231,.0246,.0230,.1201,.0000,46.4811,43.4976,.0000,.0903,9.2000
1990-01-28,6.4218,.0342,.0334,.0000,.0000,.0000,.0008,.0000,715.0808,.0000,.0000,24.2108,10.8679,.0000,2.5320,.7079,.0000,.7079,1.7748,.0000,.0000,.0000,.0000,.0000,.0492,.0025,.0467,.0000,.0008,.0144,.1350,.0000,.0172,.0000,.0000,.0027,.0000,.0000,.0000,.0000,.0000,.0228,.0243,.0228,.1178,.0000,45.9207,43.0056,.0000,.0855,9.2000
1990-01-29,6.4396,.0320,.0313,.0000,.0000,.0000,.0007,.0000,714.0073,.0000,.0000,22.9593,10.3962,.0000,2.4774,.6631,.0000,.6631,1.7685,.0000,.0000,.0000,.0000,.0000,.0458,.0023,.0436,.0000,.0007,.0135,.1317,.0000,.0161,.0000,.0000,.0026,.0000,.0000,.0000,.0000,.0000,.0225,.0240,.0225,.1156,.0000,45.3585,42.5105,.0000,.0808,9.2000
