parameter,min,max,default
tmax_cbh_adj,-10,10,0
tmin_cbh_adj,-10,10,0
dprst_depth_avg,0.01,500,132
dprst_flow_coef,0.001,1,0.05
dprst_frac,0.01,0.25,0.2
dprst_frac_init,0.01,0.25,0.2
dprst_seep_rate_clos,0.001,0.2,0.02
dprst_seep_rate_open,0.001,0.2,0.02
fascoef_sq,0.001,1,0.8
fastcoef_lin,0.001,1,0.1
gwflow_coef,0.01,0.5,0.015
op_flow_thres,0.01,1,1
potet_cbh_adj,0.5,1.5,1
potet_sublim,0.1,0.75,0.5
pref_flow_den,0.01,0.5,0.01
pref_flow_infil_frac,0.01,0.99,0.5
rad_trncf,0.01,1,0.1
sat_threshold,0.001,10,5
slowcoef_lin,0.001,0.5,0.015
slowcoef_sq,0.001,1,0.1
smidx_coef,0.001,0.06,0.005
smidx_exp,0.1,0.5,0.3
snarea_thresh,0.01,200,50
snow_cbh_adj,0.5,1.5,1
snow_intcp,0.01,1,0.1
soil_moist_init_frac,0.1,1,0.3
soil_moist_max,0.1,10,2
soil_rechr_init_frac,0.01,1,0.01
soil_rechr_max_frac,0.01,1,0.3
soil2gw_max,0.01,5,0.01
srain_intcp,0.01,10,0.1
sro_to_dprst_imperv,0.01,1,0.2
sro_to_dprst_perv,0.01,1,0.2
ssr2gw_exp,0.01,3,1
ssr2gw_rate,0.01,99,0.1
ssstor_init_frac,0.01,1,0.1
va_clos_exp,0.001,10,1
va_open_exp,0.001,10,1
wrain_intcp,0.01,10,0.1
