HRU,SC,ORDEN,QF,OBS,SEG,ESTAC
1,1,1,1,1,1,Estero Pocuro en el Sifon
3,1,1,1,1,1,Estero Pocuro en el Sifon
4,1,1,1,1,1,Estero Pocuro en el Sifon
9,1,1,1,1,1,Estero Pocuro en el Sifon
10,1,1,1,1,1,Estero Pocuro en el Sifon
11,1,1,1,1,1,Estero Pocuro en el Sifon
12,1,1,1,1,1,Estero Pocuro en el Sifon
13,1,1,1,1,1,Estero Pocuro en el Sifon
14,1,1,1,1,1,Estero Pocuro en el Sifon
15,1,1,1,1,1,Estero Pocuro en el Sifon
21,1,1,1,1,1,Estero Pocuro en el Sifon
22,1,1,1,1,1,Estero Pocuro en el Sifon
23,1,1,1,1,1,Estero Pocuro en el Sifon
24,1,1,1,1,1,Estero Pocuro en el Sifon
25,1,1,1,1,1,Estero Pocuro en el Sifon
26,1,1,1,1,1,Estero Pocuro en el Sifon
27,1,1,1,1,1,Estero Pocuro en el Sifon
28,1,1,1,1,1,Estero Pocuro en el Sifon
29,1,1,1,1,1,Estero Pocuro en el Sifon
35,1,1,1,1,1,Estero Pocuro en el Sifon
36,1,1,1,1,1,Estero Pocuro en el Sifon
37,1,1,1,1,1,Estero Pocuro en el Sifon
38,1,1,1,1,1,Estero Pocuro en el Sifon
39,1,1,1,1,1,Estero Pocuro en el Sifon
40,1,1,1,1,1,Estero Pocuro en el Sifon
41,1,1,1,1,1,Estero Pocuro en el Sifon
42,1,1,1,1,1,Estero Pocuro en el Sifon
43,1,1,1,1,1,Estero Pocuro en el Sifon
44,1,1,1,1,1,Estero Pocuro en el Sifon
50,1,1,1,1,1,Estero Pocuro en el Sifon
51,1,1,1,1,1,Estero Pocuro en el Sifon
52,1,1,1,1,1,Estero Pocuro en el Sifon
53,1,1,1,1,1,Estero Pocuro en el Sifon
54,1,1,1,1,1,Estero Pocuro en el Sifon
55,1,1,1,1,1,Estero Pocuro en el Sifon
56,1,1,1,1,1,Estero Pocuro en el Sifon
57,1,1,1,1,1,Estero Pocuro en el Sifon
58,1,1,1,1,1,Estero Pocuro en el Sifon
67,1,1,1,1,1,Estero Pocuro en el Sifon
68,1,1,1,1,1,Estero Pocuro en el Sifon
69,1,1,1,1,1,Estero Pocuro en el Sifon
70,1,1,1,1,1,Estero Pocuro en el Sifon
71,1,1,1,1,1,Estero Pocuro en el Sifon
72,1,1,1,1,1,Estero Pocuro en el Sifon
73,1,1,1,1,1,Estero Pocuro en el Sifon
74,1,1,1,1,1,Estero Pocuro en el Sifon
84,1,1,1,1,1,Estero Pocuro en el Sifon
85,1,1,1,1,1,Estero Pocuro en el Sifon
86,1,1,1,1,1,Estero Pocuro en el Sifon
87,1,1,1,1,1,Estero Pocuro en el Sifon
88,1,1,1,1,1,Estero Pocuro en el Sifon
89,1,1,1,1,1,Estero Pocuro en el Sifon
90,1,1,1,1,1,Estero Pocuro en el Sifon
91,1,1,1,1,1,Estero Pocuro en el Sifon
102,1,1,1,1,1,Estero Pocuro en el Sifon
103,1,1,1,1,1,Estero Pocuro en el Sifon
104,1,1,1,1,1,Estero Pocuro en el Sifon
105,1,1,1,1,1,Estero Pocuro en el Sifon
106,1,1,1,1,1,Estero Pocuro en el Sifon
107,1,1,1,1,1,Estero Pocuro en el Sifon
108,1,1,1,1,1,Estero Pocuro en el Sifon
120,1,1,1,1,1,Estero Pocuro en el Sifon
121,1,1,1,1,1,Estero Pocuro en el Sifon
122,1,1,1,1,1,Estero Pocuro en el Sifon
